1124	-3.8958	2.0897
1125	-3.7873	1.9877
1126	-3.679	1.8859
1127	-3.5706	1.7812
1128	-3.4593	1.6994
1129	-3.3561	1.6
1130	-3.2606	1.5256
1131	-3.14	1.4658
1132	-3.032	1.3922
1133	-2.9401	1.3455
1134	-2.8421	1.2788
1135	-2.7443	1.2159
1136	-2.6583	1.1827
1137	-2.5715	1.1332
1138	-2.472	1.1008
1139	-2.3734	1.0815
1140	-2.2994	1.0549
1141	-2.2164	1.0197
1142	-2.1204	0.977
1143	-2.049	0.9612
1144	-1.9762	0.9609
1145	-1.91	0.9353
1146	-1.8499	0.9204
1147	-1.7774	0.9085
1148	-1.6989	0.8993
1149	-1.6524	0.9002
1150	-1.6101	0.8899
1151	-1.5347	0.8752
1152	-1.4713	0.868
1153	-1.4209	0.869
1154	-1.3737	0.8691
1155	-1.3244	0.8689
1156	-1.2747	0.869
1157	-1.2382	0.869
1158	-1.1957	0.8689
1159	-1.1497	0.8694
1160	-1.1273	0.8679
1161	-1.0843	0.8701
1162	-1.0388	0.8824
1163	-1.0121	0.8859
1164	-0.9908	0.8839
1165	-0.9661	0.8841
1166	-0.9422	0.8824
1167	-0.9183	0.8907
1168	-0.8937	0.9014
1169	-0.8693	0.9001
1170	-0.8456	0.8997
1171	-0.8218	0.9001
1172	-0.7967	0.9
1173	-0.7737	0.9
1174	-0.7606	0.9
1175	-0.7518	0.9001
1176	-0.7318	0.8997
1177	-0.7104	0.9002
1178	-0.7123	0.9014
1179	-0.6936	0.8899
1180	-0.6711	0.8834
1181	-0.6614	0.8829
1182	-0.6489	0.8704
1183	-0.6379	0.868
1184	-0.6238	0.8687
1185	-0.6161	0.87
1186	-0.6171	0.8702
1187	-0.5927	0.8459
1188	-0.5817	0.8334
1189	-0.5826	0.8383
1190	-0.5683	0.8371
1191	-0.555	0.826
1192	-0.5532	0.811
1193	-0.5504	0.8044
1194	-0.5362	0.8048
1195	-0.5227	0.7942
1196	-0.5213	0.7784
1197	-0.5175	0.7751
1198	-0.5033	0.772
1199	-0.4911	0.7456
1200	-0.4803	0.7405
